source_dir,timestamp,instance,algorithm,best_objective,best_distance,time_violation,capacity_violation,vehicle_violation,routes,runtime_ms,solutions_evaluated,penalty_weight,enforce_time_windows,parameters,feasible
resultsSA/Exp42,2026-04-23 16:46:20,data101.vrp,sa,1239.1684691489463,1239.1684691489463,15839.777891733498,0.0,0.0,8,90,30001,1000.0,False,iterations=30000; seed=66571993102; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp43,2026-04-23 16:46:20,data101.vrp,sa,1097.8502953499692,1097.8502953499692,13939.460971616165,0.0,0.0,8,92,30001,1000.0,False,iterations=30000; seed=66571993102; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp44,2026-04-23 16:46:20,data101.vrp,sa,1165.45574167923,1165.45574167923,14448.905800531962,0.0,0.0,8,94,30001,1000.0,False,iterations=30000; seed=66571993102; initialTemp=1250.0; coolingRate=0.9997; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp45,2026-04-23 16:46:21,data101.vrp,sa,1087.7935888220636,1087.7935888220636,17092.87102398446,0.0,0.0,8,87,30001,1000.0,False,iterations=30000; seed=66571993102; initialTemp=1400.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp46,2026-04-23 17:14:21,data101.vrp,sa,1085.690782375405,1085.690782375405,13871.766222834876,0.0,0.0,8,103,30001,1000.0,False,iterations=30000; seed=66571993103; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp47,2026-04-23 17:14:22,data101.vrp,sa,1281.1184934845185,1281.1184934845185,15227.750968121802,0.0,0.0,8,70,30001,1000.0,False,iterations=30000; seed=66571993103; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=exchange; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp48,2026-04-23 17:14:22,data101.vrp,sa,1732.6739183119278,1732.6739183119278,18279.048440679693,0.0,0.0,8,62,30001,1000.0,False,iterations=30000; seed=66571993103; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=2opt; vehicleLimit=2147483647,False
resultsSA/Exp49,2026-04-23 17:20:11,data101.vrp,sa,1117.2664243121385,1117.2664243121385,15056.468387324,0.0,0.0,8,83,30001,1000.0,False,iterations=30000; seed=66571993103; initialTemp=1000.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp5,2026-04-22 17:18:16,data101.vrp,sa,2054.8919873138343,2054.8919873138343,0.0,0.0,0.0,24,93,30001,1000.0,True,iterations=30000; seed=66571993099; initialTemp=1500.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,True
resultsSA/Exp50,2026-04-23 17:20:12,data101.vrp,sa,1040.805299437577,1040.805299437577,16287.8217850354,0.0,0.0,8,81,30001,1000.0,False,iterations=30000; seed=66571993103; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
